담당자명,거래처명,품목명,RX 총Net매출(VAT제외)
김관태,광주연세안과의원,디쿠아폴점안액3%(15mg/0.5mL),128181.81818181818
김두훈,삼성밝은안과의원,디쿠아폴점안액3%(15mg/0.5mL),213636.36363636365
김두훈,세브란스가정의학과의원,디쿠아폴점안액3%(15mg/0.5mL),25636.36363636364
김병민,연세봄안과의원,디쿠아폴점안액3%(15mg/0.5mL),2820000.0
김서연,강남성모안과의원,디쿠아폴점안액3%(15mg/0.5mL),12818.181818181818
김승찬,김안과의원,디쿠아폴점안액3%(15mg/0.5mL),51272.72727272727
김승찬,밝은정안과의원,디쿠아폴점안액3%(15mg/0.5mL),333272.7272727273
김승현B,권오윤내과의원,디쿠아폴점안액3%(15mg/0.5mL),0.0
김승현B,다산연합의원,디쿠아폴점안액3%(15mg/0.5mL),51272.72727272727
김인용,용인밝은안과의원,디쿠아폴점안액3%(15mg/0.5mL),0.0
김태규B,포승21세기의원,디쿠아폴점안액3%(15mg/0.5mL),0.0
김태규B,장의원,디쿠아폴점안액3%(15mg/0.5mL),0.0
박경현,연세김안과의원,디쿠아폴점안액3%(15mg/0.5mL),0.0
박경현,미소지앤의원,디쿠아폴점안액3%(15mg/0.5mL),0.0
박종우C,성모안과의원(호평),디쿠아폴점안액3%(15mg/0.5mL),2768727.272727273
이지형,미소아이안과의원,디쿠아폴점안액3%(15mg/0.5mL),179454.54545454544
이지형,구리성모안과의원,디쿠아폴점안액3%(15mg/0.5mL),256363.6363636364
이창준A,미소아이안과의원,디쿠아폴점안액3%(15mg/0.5mL),1974000.0
이호진,서정성모안과의원,디쿠아폴점안액3%(15mg/0.5mL),48709.0909090909
이희영,다봄안과의원,디쿠아폴점안액3%(15mg/0.5mL),1820181.818181818
최유진E,수지드림안과의원,디쿠아폴점안액3%(15mg/0.5mL),32045.454545454544
김관태,추미애가정의학과의원,로수젯정10/5밀리그램,266072.7272727273
김관태,성모내과정형외과의원,로수젯정10/5밀리그램,720613.6363636364
김관태,광주제일내과의원,로수젯정10/5밀리그램,177381.81818181818
김관태,윤내과의원,로수젯정10/5밀리그램,2683639.090909091
김관태,굿모닝신경외과의원,로수젯정10/5밀리그램,487800.0
김관태,아이웰빙의원,로수젯정10/5밀리그램,221727.2727272727
김관태,고려정성가정의학과의원,로수젯정10/5밀리그램,399109.0909090909
김관태,푸른가정의원,로수젯정10/5밀리그램,243900.0
김관태,이영창내과의원,로수젯정10/5밀리그램,66518.18181818181
김관태,회덕메디칼의원,로수젯정10/5밀리그램,155209.0909090909
김관태,성모우리내과의원,로수젯정10/5밀리그램,243900.0
김관태,행복한가정의학과의원,로수젯정10/5밀리그램,44345.45454545455
김관태,조남혁내과의원,로수젯정10/5밀리그램,88690.90909090909
김관태,조은가정의학과의원,로수젯정10/5밀리그램,1016250.0
김관태,"광주정형,일반외과의원",로수젯정10/5밀리그램,221727.2727272727
김관태,광주항외과의원,로수젯정10/5밀리그램,421281.8181818182
김관태,정양호내과의원,로수젯정10/5밀리그램,1489637.7272727273
김관태,태전성모내과의원,로수젯정10/5밀리그램,110863.63636363635
김관태,이용구내과의원,로수젯정10/5밀리그램,88690.90909090909
김관태,푸른내과의원,로수젯정10/5밀리그램,1141895.4545454544
김관태,서울장내과의원,로수젯정10/5밀리그램,0.0
김관태,예담의원,로수젯정10/5밀리그램,66518.18181818181
김관태,고려정성가정의학과의원,로수젯정10/20밀리그램,62563.63636363636
김관태,푸른가정의원,로수젯정10/20밀리그램,125127.27272727272
김관태,광주제일내과의원,로수젯정10/20밀리그램,63606.36363636364
김관태,서울장내과의원,로수젯정10/20밀리그램,0.0
김관태,성모우리내과의원,로수젯정10/20밀리그램,62563.63636363636
김관태,정양호내과의원,로수젯정10/20밀리그램,894660.0
김관태,추미애가정의학과의원,로수젯정10/20밀리그램,31281.81818181818
김관태,윤내과의원,로수젯정10/10밀리그램,155045.45454545453
김관태,태전성모내과의원,로수젯정10/10밀리그램,62018.181818181816
김관태,성모우리내과의원,로수젯정10/10밀리그램,496145.4545454546
김관태,굿모닝신경외과의원,로수젯정10/10밀리그램,124036.36363636365
김관태,푸른가정의원,로수젯정10/10밀리그램,310090.90909090906
김관태,조남혁내과의원,로수젯정10/10밀리그램,124036.36363636365
김관태,광주제일내과의원,로수젯정10/10밀리그램,183987.2727272727
김관태,추미애가정의학과의원,로수젯정10/10밀리그램,31009.090909090908
김관태,이영창내과의원,로수젯정10/10밀리그램,93027.27272727272
김관태,서울장내과의원,로수젯정10/10밀리그램,0.0
김관태,정양호내과의원,로수젯정10/10밀리그램,2420776.363636364
김관태,조은가정의학과의원,로수젯정10/10밀리그램,697704.5454545455
김관태,예담의원,로수젯정10/10밀리그램,93027.27272727272
김관태,아이웰빙의원,로수젯정10/10밀리그램,279081.8181818182
김관태,푸른내과의원,로수젯정10/10밀리그램,248072.7272727273
김관태,이용구내과의원,로수젯정10/10밀리그램,124036.36363636365
김관태,고려정성가정의학과의원,로수젯정10/10밀리그램,155045.45454545453
김관태,삼성의원,로수젯정10/10밀리그램,62018.181818181816
김관태,예담의원,로수젯정10/2.5밀리그램,81927.27272727272
김관태,추미애가정의학과의원,로수젯정10/2.5밀리그램,0.0
김관태,푸른내과의원,로수젯정10/2.5밀리그램,102409.0909090909
